source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
landing,products,product_id,bronze,products,product_id,Direct Map,Direct mapping from source to target
landing,products,product_name,bronze,products,product_name,Direct Map,Direct mapping from source to target
landing,products,category,bronze,products,category,Direct Map,Direct mapping from source to target
landing,products,standard_price,bronze,products,standard_price,Direct Map,Direct mapping from source to target
landing,sales_data,transaction_id,bronze,sales_data,transaction_id,Direct Map,Direct mapping from source to target
landing,sales_data,transaction_date,bronze,sales_data,transaction_date,Direct Map,Direct mapping from source to target
landing,sales_data,store_id,bronze,sales_data,store_id,Direct Map,Direct mapping from source to target
landing,sales_data,product_id,bronze,sales_data,product_id,Direct Map,Direct mapping from source to target
landing,sales_data,product_name,bronze,sales_data,product_name,Direct Map,Direct mapping from source to target
landing,sales_data,category,bronze,sales_data,category,Direct Map,Direct mapping from source to target
landing,sales_data,quantity,bronze,sales_data,quantity,Direct Map,Direct mapping from source to target
landing,sales_data,unit_price,bronze,sales_data,unit_price,Direct Map,Direct mapping from source to target
landing,sales_data,total_amount,bronze,sales_data,total_amount,Direct Map,Direct mapping from source to target
landing,sales_data,customer_segment,bronze,sales_data,customer_segment,Direct Map,Direct mapping from source to target
landing,sales_data,payment_method,bronze,sales_data,payment_method,Direct Map,Direct mapping from source to target
landing,stores,store_id,bronze,stores,store_id,Direct Map,Direct mapping from source to target
landing,stores,store_name,bronze,stores,store_name,Direct Map,Direct mapping from source to target
landing,stores,region,bronze,stores,region,Direct Map,Direct mapping from source to target
landing,stores,city,bronze,stores,city,Direct Map,Direct mapping from source to target
landing,stores,state,bronze,stores,state,Direct Map,Direct mapping from source to target
