source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
landing,products,product_id,bronze,products,product_id,copy,product_id
landing,products,product_name,bronze,products,product_name,copy,product_name
landing,products,category,bronze,products,category,copy,category
landing,products,standard_price,bronze,products,standard_price,copy,standard_price
landing,sales_data,transaction_id,bronze,sales_data,transaction_id,copy,transaction_id
landing,sales_data,transaction_date,bronze,sales_data,transaction_date,copy,transaction_date
landing,sales_data,store_id,bronze,sales_data,store_id,copy,store_id
landing,sales_data,product_id,bronze,sales_data,product_id,copy,product_id
landing,sales_data,product_name,bronze,sales_data,product_name,copy,product_name
landing,sales_data,category,bronze,sales_data,category,copy,category
landing,sales_data,quantity,bronze,sales_data,quantity,copy,quantity
landing,sales_data,unit_price,bronze,sales_data,unit_price,copy,unit_price
landing,sales_data,total_amount,bronze,sales_data,total_amount,copy,total_amount
landing,sales_data,customer_segment,bronze,sales_data,customer_segment,copy,customer_segment
landing,sales_data,payment_method,bronze,sales_data,payment_method,copy,payment_method
landing,stores,store_id,bronze,stores,store_id,copy,store_id
landing,stores,store_name,bronze,stores,store_name,copy,store_name
landing,stores,region,bronze,stores,region,copy,region
landing,stores,city,bronze,stores,city,copy,city
landing,stores,state,bronze,stores,state,copy,state
