source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
landing,products,product_id,bronze,products,product_id,direct_load,product_id
landing,products,product_name,bronze,products,product_name,direct_load,product_name
landing,products,category,bronze,products,category,direct_load,category
landing,products,standard_price,bronze,products,standard_price,direct_load,standard_price
landing,sales_data,transaction_id,bronze,sales_data,transaction_id,direct_load,transaction_id
landing,sales_data,transaction_date,bronze,sales_data,transaction_date,direct_load,transaction_date
landing,sales_data,store_id,bronze,sales_data,store_id,direct_load,store_id
landing,sales_data,product_id,bronze,sales_data,product_id,direct_load,product_id
landing,sales_data,product_name,bronze,sales_data,product_name,direct_load,product_name
landing,sales_data,category,bronze,sales_data,category,direct_load,category
landing,sales_data,quantity,bronze,sales_data,quantity,direct_load,quantity
landing,sales_data,unit_price,bronze,sales_data,unit_price,direct_load,unit_price
landing,sales_data,total_amount,bronze,sales_data,total_amount,direct_load,total_amount
landing,sales_data,customer_segment,bronze,sales_data,customer_segment,direct_load,customer_segment
landing,sales_data,payment_method,bronze,sales_data,payment_method,direct_load,payment_method
landing,stores,store_id,bronze,stores,store_id,direct_load,store_id
landing,stores,store_name,bronze,stores,store_name,direct_load,store_name
landing,stores,region,bronze,stores,region,direct_load,region
landing,stores,city,bronze,stores,city,direct_load,city
landing,stores,state,bronze,stores,state,direct_load,state
