source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
landing,products,product_id,bronze,products,product_id,Direct Map,CAST(product_id AS STRING)
landing,products,product_name,bronze,products,product_name,Direct Map,CAST(product_name AS STRING)
landing,products,category,bronze,products,category,Direct Map,CAST(category AS STRING)
landing,products,standard_price,bronze,products,standard_price,Direct Map,CAST(standard_price AS DOUBLE)
landing,sales_data,transaction_id,bronze,sales_data,transaction_id,Direct Map,CAST(transaction_id AS STRING)
landing,sales_data,transaction_date,bronze,sales_data,transaction_date,Direct Map,CAST(transaction_date AS STRING)
landing,sales_data,store_id,bronze,sales_data,store_id,Direct Map,CAST(store_id AS STRING)
landing,sales_data,product_id,bronze,sales_data,product_id,Direct Map,CAST(product_id AS STRING)
landing,sales_data,product_name,bronze,sales_data,product_name,Direct Map,CAST(product_name AS STRING)
landing,sales_data,category,bronze,sales_data,category,Direct Map,CAST(category AS STRING)
landing,sales_data,quantity,bronze,sales_data,quantity,Direct Map,CAST(quantity AS BIGINT)
landing,sales_data,unit_price,bronze,sales_data,unit_price,Direct Map,CAST(unit_price AS DOUBLE)
landing,sales_data,total_amount,bronze,sales_data,total_amount,Direct Map,CAST(total_amount AS DOUBLE)
landing,sales_data,customer_segment,bronze,sales_data,customer_segment,Direct Map,CAST(customer_segment AS STRING)
landing,sales_data,payment_method,bronze,sales_data,payment_method,Direct Map,CAST(payment_method AS STRING)
landing,stores,store_id,bronze,stores,store_id,Direct Map,CAST(store_id AS STRING)
landing,stores,store_name,bronze,stores,store_name,Direct Map,CAST(store_name AS STRING)
landing,stores,region,bronze,stores,region,Direct Map,CAST(region AS STRING)
landing,stores,city,bronze,stores,city,Direct Map,CAST(city AS STRING)
landing,stores,state,bronze,stores,state,Direct Map,CAST(state AS STRING)
