source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
bronze,products_bronze,,silver,products_silver,pk_product_silver_id,Indirect,Auto-generated sequential surrogate primary key starting from 1. Deduplicate based on product_id using ROW_NUMBER() OVER (PARTITION BY product_id ORDER BY _load_timestamp DESC) = 1.
bronze,products_bronze,product_id,silver,products_silver,product_id,Type Cast,CAST(product_id AS INT)
bronze,products_bronze,product_name,silver,products_silver,product_name,Type Cast,CAST(product_name AS STRING)
bronze,products_bronze,category,silver,products_silver,category,Type Cast,CAST(category AS STRING)
bronze,products_bronze,standard_price,silver,products_silver,standard_price,Type Cast,"CAST(standard_price AS DECIMAL(10, 2))"
bronze,products_bronze,_load_timestamp,silver,products_silver,_load_timestamp,Type Cast,CAST(_load_timestamp AS TIMESTAMP)
bronze,products_bronze,_source_file,silver,products_silver,_source_file,Type Cast,CAST(_source_file AS STRING)
bronze,sales_data_bronze,,silver,sales_silver,pk_sale_silver_id,Indirect,Auto-generated sequential surrogate primary key starting from 1. Deduplicate based on transaction_id using ROW_NUMBER() OVER (PARTITION BY transaction_id ORDER BY _load_timestamp DESC) = 1.
bronze,sales_data_bronze,transaction_id,silver,sales_silver,transaction_id,Type Cast,CAST(transaction_id AS INT)
bronze,sales_data_bronze,transaction_date,silver,sales_silver,transaction_date,Type Cast,CAST(transaction_date AS DATE)
bronze,sales_data_bronze,store_id,silver,sales_silver,store_id,Type Cast,CAST(store_id AS INT)
bronze,sales_data_bronze,product_id,silver,sales_silver,product_id,Type Cast,CAST(product_id AS INT)
bronze,sales_data_bronze,product_name,silver,sales_silver,product_name,Type Cast,CAST(product_name AS STRING)
bronze,sales_data_bronze,category,silver,sales_silver,category,Type Cast,CAST(category AS STRING)
bronze,sales_data_bronze,quantity,silver,sales_silver,quantity,Type Cast,CAST(quantity AS INT)
bronze,sales_data_bronze,unit_price,silver,sales_silver,unit_price,Type Cast,"CAST(unit_price AS DECIMAL(10, 2))"
bronze,sales_data_bronze,total_amount,silver,sales_silver,total_amount,Type Cast,"CAST(total_amount AS DECIMAL(10, 2))"
bronze,sales_data_bronze,customer_segment,silver,sales_silver,customer_segment,Type Cast,CAST(customer_segment AS STRING)
bronze,sales_data_bronze,payment_method,silver,sales_silver,payment_method,Type Cast,CAST(payment_method AS STRING)
bronze,sales_data_bronze,_load_timestamp,silver,sales_silver,_load_timestamp,Type Cast,CAST(_load_timestamp AS TIMESTAMP)
bronze,sales_data_bronze,_source_file,silver,sales_silver,_source_file,Type Cast,CAST(_source_file AS STRING)
bronze,stores_bronze,,silver,stores_silver,pk_store_silver_id,Indirect,Auto-generated sequential surrogate primary key starting from 1. Deduplicate based on store_id using ROW_NUMBER() OVER (PARTITION BY store_id ORDER BY _load_timestamp DESC) = 1.
bronze,stores_bronze,store_id,silver,stores_silver,store_id,Type Cast,CAST(store_id AS INT)
bronze,stores_bronze,store_name,silver,stores_silver,store_name,Type Cast,CAST(store_name AS STRING)
bronze,stores_bronze,region,silver,stores_silver,region,Type Cast,CAST(region AS STRING)
bronze,stores_bronze,city,silver,stores_silver,city,Type Cast,CAST(city AS STRING)
bronze,stores_bronze,state,silver,stores_silver,state,Type Cast,CAST(state AS STRING)
bronze,stores_bronze,_load_timestamp,silver,stores_silver,_load_timestamp,Type Cast,CAST(_load_timestamp AS TIMESTAMP)
bronze,stores_bronze,_source_file,silver,stores_silver,_source_file,Type Cast,CAST(_source_file AS STRING)
