source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
,,,silver,products_silver,pk_products_silver_id,Indirect,Auto-generated sequential surrogate primary key starting from 1
bronze,products_bronze.parquet,product_id,silver,products_silver,product_id,Direct,"CAST(COALESCE(product_id, -1) AS INT)"
bronze,products_bronze.parquet,product_name,silver,products_silver,product_name,Direct,"CAST(COALESCE(TRIM(product_name), 'Unknown Product') AS STRING)"
bronze,products_bronze.parquet,category,silver,products_silver,category,Direct,"CAST(COALESCE(TRIM(category), 'Unknown Category') AS STRING)"
bronze,products_bronze.parquet,standard_price,silver,products_silver,standard_price,Direct,"CAST(COALESCE(standard_price, 0.00) AS DECIMAL(10,2))"
bronze,products_bronze.parquet,_load_timestamp,silver,products_silver,_load_timestamp,Direct,"CAST(COALESCE(_load_timestamp, '1900-01-01 00:00:00') AS TIMESTAMP)"
bronze,products_bronze.parquet,_source_file,silver,products_silver,_source_file,Direct,"CAST(COALESCE(TRIM(_source_file), 'Unknown File') AS STRING)"
,,,silver,sales_silver,pk_sales_silver_id,Indirect,Auto-generated sequential surrogate primary key starting from 1
bronze,sales_data_bronze.parquet,transaction_id,silver,sales_silver,transaction_id,Direct,"CAST(COALESCE(TRIM(transaction_id), 'N/A') AS STRING)"
bronze,sales_data_bronze.parquet,transaction_date,silver,sales_silver,transaction_date,Direct,"CAST(COALESCE(transaction_date, '1900-01-01') AS DATE)"
bronze,sales_data_bronze.parquet,store_id,silver,sales_silver,store_id,Direct,"CAST(COALESCE(store_id, -1) AS INT)"
bronze,sales_data_bronze.parquet,product_id,silver,sales_silver,product_id,Direct,"CAST(COALESCE(product_id, -1) AS INT)"
bronze,sales_data_bronze.parquet,product_name,silver,sales_silver,product_name,Direct,"CAST(COALESCE(TRIM(product_name), 'Unknown Product') AS STRING)"
bronze,sales_data_bronze.parquet,category,silver,sales_silver,category,Direct,"CAST(COALESCE(TRIM(category), 'Unknown Category') AS STRING)"
bronze,sales_data_bronze.parquet,quantity,silver,sales_silver,quantity,Direct,"CAST(COALESCE(quantity, 0) AS INT)"
bronze,sales_data_bronze.parquet,unit_price,silver,sales_silver,unit_price,Direct,"CAST(COALESCE(unit_price, 0.00) AS DECIMAL(10,2))"
bronze,sales_data_bronze.parquet,total_amount,silver,sales_silver,total_amount,Direct,"CAST(COALESCE(total_amount, 0.00) AS DECIMAL(10,2))"
bronze,sales_data_bronze.parquet,customer_segment,silver,sales_silver,customer_segment,Direct,"CAST(COALESCE(TRIM(customer_segment), 'Unknown Segment') AS STRING)"
bronze,sales_data_bronze.parquet,payment_method,silver,sales_silver,payment_method,Direct,"CAST(COALESCE(TRIM(payment_method), 'Unknown Method') AS STRING)"
bronze,sales_data_bronze.parquet,_load_timestamp,silver,sales_silver,_load_timestamp,Direct,"CAST(COALESCE(_load_timestamp, '1900-01-01 00:00:00') AS TIMESTAMP)"
bronze,sales_data_bronze.parquet,_source_file,silver,sales_silver,_source_file,Direct,"CAST(COALESCE(TRIM(_source_file), 'Unknown File') AS STRING)"
,,,silver,stores_silver,pk_stores_silver_id,Indirect,Auto-generated sequential surrogate primary key starting from 1
bronze,stores_bronze.parquet,store_id,silver,stores_silver,store_id,Direct,"CAST(COALESCE(store_id, -1) AS INT)"
bronze,stores_bronze.parquet,store_name,silver,stores_silver,store_name,Direct,"CAST(COALESCE(TRIM(store_name), 'Unknown Store') AS STRING)"
bronze,stores_bronze.parquet,region,silver,stores_silver,region,Direct,"CAST(COALESCE(TRIM(region), 'Unknown Region') AS STRING)"
bronze,stores_bronze.parquet,city,silver,stores_silver,city,Direct,"CAST(COALESCE(TRIM(city), 'Unknown City') AS STRING)"
bronze,stores_bronze.parquet,state,silver,stores_silver,state,Direct,"CAST(COALESCE(TRIM(state), 'Unknown State') AS STRING)"
bronze,stores_bronze.parquet,_load_timestamp,silver,stores_silver,_load_timestamp,Direct,"CAST(COALESCE(_load_timestamp, '1900-01-01 00:00:00') AS TIMESTAMP)"
bronze,stores_bronze.parquet,_source_file,silver,stores_silver,_source_file,Direct,"CAST(COALESCE(TRIM(_source_file), 'Unknown File') AS STRING)"
